name,link,address,lat,lng
://about blank,https://www.berlin.de/clubs-und-party/clubguide/8870883-2857960-about-blank.html,Markgrafendamm 24c 10245 Berlin,52.5024739,13.4663999
Aeden,https://www.berlin.de/clubs-und-party/clubguide/8870937-2857960-aeden.html,Schleusenufer 3 10997 Berlin,52.4976406,13.4497467
Æve,https://www.berlin.de/clubs-und-party/clubguide/8870949-2857960-aeve.html,Vor dem Schlesischen Tor 3 10997 Berlin,52.4972003,13.4493849
Alte Kantine,https://www.berlin.de/clubs-und-party/clubguide/8870964-2857960-alte-kantine.html,Knaackstr. 97 10435 Berlin,52.5404488,13.4141095
Arena Club,https://www.berlin.de/clubs-und-party/clubguide/8870988-2857960-arena-club.html,Eichenstr. 4 12435 Berlin,52.4972887,13.455042
Astra Kulturhaus,https://www.berlin.de/clubs-und-party/clubguide/8871015-2857960-astra-kulturhaus.html,Revaler Str. 99 10245 Berlin,52.506874,13.4567305
Avenue Berlin,https://www.berlin.de/clubs-und-party/clubguide/8871027-2857960-avenue-berlin.html,Karl-Marx-Allee 34 10178 Berlin,52.5194844,13.4229193
Badehaus,https://www.berlin.de/clubs-und-party/clubguide/8871066-2857960-badehaus.html,Revaler Str. 99 10245 Berlin,52.506874,13.4567305
Ballhaus Spandau,https://www.berlin.de/clubs-und-party/clubguide/8871084-2857960-ballhaus-spandau.html,Dorfstr. 5 13597 Berlin,52.5228018,13.2106493
Beate Uwe,https://www.berlin.de/clubs-und-party/clubguide/8871099-2857960-beate-uwe.html,Schillingstr. 31 10179 Berlin,52.51743159999999,13.4191521
Berghain,https://www.berlin.de/clubs-und-party/clubguide/8871117-2857960-berghain.html,Am Wriezener Bahnhof 10243 Berlin,52.5111954,13.4412313
Bi Nuu,https://www.berlin.de/clubs-und-party/clubguide/8871129-2857960-bi-nuu.html,U-Bahnhof Schlesisches Tor 10997 Berlin,52.5009224,13.4415344
Birgit und Bier,https://www.berlin.de/clubs-und-party/clubguide/8871141-2857960-birgit-und-bier.html,Schleusenufer 3 10997 Berlin,52.4976406,13.4497467
Bohnengold,https://www.berlin.de/clubs-und-party/clubguide/8871156-2857960-bohnengold.html,Reichenberger Str. 153 10999 Berlin,52.497578,13.4242373
Bricks,https://www.berlin.de/clubs-und-party/clubguide/8871171-2857960-bricks.html,Mohrenstr. 30 10117 Berlin,52.5125564,13.3932683
Bulbul,https://www.berlin.de/clubs-und-party/clubguide/8871183-2857960-bulbul.html,Skalitzer Str. 114 10999 Berlin,52.4993121,13.424285
Busche Club,https://www.berlin.de/clubs-und-party/clubguide/8871192-2857960-busche-club.html,Warschauer Platz 18 10245 Berlin,52.5028375,13.4473204
Cassiopeia,https://www.berlin.de/clubs-und-party/clubguide/8871201-2857960-cassiopeia.html,Revaler Str. 99 10245 Berlin,52.506874,13.4567305
Chesters,https://www.berlin.de/clubs-und-party/clubguide/8871213-2857960-chesters.html,Glogauerstr. 2 10999 Berlin,52.4947542,13.4377039
Clärchens Ballhaus,https://www.berlin.de/clubs-und-party/clubguide/8871261-2857960-claerchens-ballhaus.html,Auguststr. 24 10117 Berlin,52.5267016,13.3968996
Club der Visionäre,https://www.berlin.de/clubs-und-party/clubguide/8871273-2857960-club-der-visionaere.html,Am Flutgraben 1 12435 Berlin,52.4967931,13.4504653
Connection Club,https://www.berlin.de/clubs-und-party/clubguide/8871291-2857960-connection-club.html,Fuggerstr. 33 10777 Berlin,52.49898289999999,13.3425656
Dean,https://www.berlin.de/clubs-und-party/clubguide/8871306-2857960-dean.html,Rosenthaler Str. 9 10119 Berlin,52.5279064,13.4024598
Der Weiße Hase,https://www.berlin.de/clubs-und-party/clubguide/8871318-2857960-der-weisse-hase.html,Revaler Str. 99 10245 Berlin,52.506874,13.4567305
Duncker,https://www.berlin.de/clubs-und-party/clubguide/8871327-2857960-duncker.html,Dunckerstr. 64 10439 Berlin,52.547009,13.4224803
Else,https://www.berlin.de/clubs-und-party/clubguide/8871339-2857960-else.html,An den Treptowers 10 12435 Berlin,52.4949253,13.4622924
Farbfernseher,https://www.berlin.de/clubs-und-party/clubguide/8871351-2857960-farbfernseher.html,Skalitzer Str. 114 10999 Berlin,52.4993121,13.424285
frannz,https://www.berlin.de/clubs-und-party/clubguide/8871399-2857960-frannz.html,Schönhauser Allee 36 10435 Berlin,52.5383047,13.4127573
Golden Gate,https://www.berlin.de/clubs-und-party/clubguide/8871423-2857960-golden-gate.html,Schicklerstr. 4 10179 Berlin,52.5160609,13.4163349
Gretchen,https://www.berlin.de/clubs-und-party/clubguide/8871447-2857960-gretchen.html,Obentrautstr. 19-21 10963 Berlin,52.4960038,13.3877656
Hafenbar,https://www.berlin.de/clubs-und-party/clubguide/8871459-2857960-hafenbar.html,Karl-Liebknecht-Str. 11 10178 Berlin,52.5217821,13.4075639
Harmonie,https://www.berlin.de/clubs-und-party/clubguide/8871474-2857960-harmonie.html,Streustr. 31 13086 Berlin,52.55034,13.44227
Havanna Berlin,https://www.berlin.de/clubs-und-party/clubguide/8871486-2857960-havanna-berlin.html,Hauptstr. 30 10827 Berlin,52.4858778,13.3525276
Hoppetosse,https://www.berlin.de/clubs-und-party/clubguide/8871498-2857960-hoppetosse.html,Eichenstr. 4 12435 Berlin,52.4972887,13.455042
Humboldthain,https://www.berlin.de/clubs-und-party/clubguide/8871513-2857960-humboldthain.html,Hochstr. 46 13357 Berlin,52.54400649999999,13.3777275
Insomnia,https://www.berlin.de/clubs-und-party/clubguide/8871528-2857960-insomnia.html,Alt Tempelhof 17-19 12099 Berlin,52.4655825,13.3861422
Ipse,https://www.berlin.de/clubs-und-party/clubguide/8871540-2857960-ipse.html,Vor dem Schlesischen Tor 2b 10997 Berlin,52.4971071,13.4499577
Kaffee Burger,https://www.berlin.de/clubs-und-party/clubguide/8871588-2857960-kaffee-burger.html,Torstr. 60 10119 Berlin,52.5287127,13.4085311
Kalkscheune,https://www.berlin.de/clubs-und-party/clubguide/8871600-2857960-kalkscheune.html,Johannisstr. 2 10117 Berlin,52.5243397,13.3897349
Kantine am Berghain,https://www.berlin.de/clubs-und-party/clubguide/8871612-2857960-kantine-am-berghain.html,Rüdersdorfer Str. 70 10243 Berlin,52.5118613,13.4428435
Kater Blau,https://www.berlin.de/clubs-und-party/clubguide/8871624-2857960-kater-blau.html,Holzmarktstr. 25 10243 Berlin,52.5119325,13.4253919
Kesselhaus,https://www.berlin.de/clubs-und-party/clubguide/8871636-2857960-kesselhaus.html,Schönhauser Allee 36 10435 Berlin,52.5383047,13.4127573
KitKatClub,https://www.berlin.de/clubs-und-party/clubguide/8871648-2857960-kitkatclub.html,Köpenicker Str. 76 10179 Berlin,52.5110649,13.4170934
Lido,https://www.berlin.de/clubs-und-party/clubguide/8871690-2857960-lido.html,Cuvrystr. 7 10997 Berlin,52.4991903,13.4450753
Loci Loft,https://www.berlin.de/clubs-und-party/clubguide/8871708-2857960-loci-loft.html,Oraniendamm 72 13469 Berlin,52.6063312,13.3249547
L.U.X.,https://www.berlin.de/clubs-und-party/clubguide/8871660-2857960-lux.html,Schlesische Str. 41 10997 Berlin,52.500417,13.4437786
Matrix Club Berlin,https://www.berlin.de/clubs-und-party/clubguide/8871732-2857960-matrix-club-berlin.html,Warschauer Platz 18 10245 Berlin,52.5028375,13.4473204
Maxxim Club,https://www.berlin.de/clubs-und-party/clubguide/8871747-2857960-maxxim-club.html,Joachimstaler Str. 15 10719 Berlin,52.5020125,13.3308799
Maze,https://www.berlin.de/clubs-und-party/clubguide/8871756-2857960-maze.html,Mehringdamm 61 10961 Berlin,52.4908617,13.3871967
M-bia,https://www.berlin.de/clubs-und-party/clubguide/8871720-2857960-mbia.html,Dircksenstr. 123 10178 Berlin,52.5231331,13.4080783
Mensch Meier,https://www.berlin.de/clubs-und-party/clubguide/8871768-2857960-mensch-meier.html,Storkowerstr. 121 10407 Berlin,52.5351654,13.4524123
Musik und Frieden,https://www.berlin.de/clubs-und-party/clubguide/8871780-2857960-musik-und-frieden.html,Falckensteinstr. 48 10997 Berlin,52.5008317,13.4449051
Ohm,https://www.berlin.de/clubs-und-party/clubguide/8871792-2857960-ohm.html,Köpenicker Str. 70 10179 Berlin,52.51099749999999,13.4195219
Ost,https://www.berlin.de/clubs-und-party/clubguide/8871804-2857960-ost.html,Alt-Stralau 1 10245 Berlin,52.49715,13.46502
Phono Club,https://www.berlin.de/clubs-und-party/clubguide/8871816-2857960-phono-club.html,Pappelallee 65 10437 Berlin,52.54548,13.41666
Polygon,https://www.berlin.de/clubs-und-party/clubguide/8871834-2857960-polygon.html,Wiesenweg 1-4 10365 Berlin,52.5074565,13.4742189
Postbahnhof Club,https://www.berlin.de/clubs-und-party/clubguide/8871846-2857960-postbahnhof-club.html,Straße der Pariser Kommune 8 10243 Berlin,52.5089095,13.4373089
